DceKey,PassKey,FishObservationKey,SpeciesName,FishForkLength,FishWeight,FishLifeStage,FishOrigin,FishReleaseTime,FishRun,FishStatus,FishCount,FishNotes,MortalityTiming,GroupSizeClass,AntennaID,PITTagID,PITTagCaptureType,PITTagType,PITTagVialCode,Tag2Identifier,Tag2RecaptureType,Tag2SubType,Tag2Type,DNAFinClipIdentifier,ScaleSampleIdentifier,IsotopeID,DietID,InjuryCode1,InjuryCode2,InjuryCode3,PhotoID,CreatedBy,CreatedDate,LastUpdatedBy,LastUpdatedDate,FishSex,ReleaseLocation,LatitudeDD,LongitudeDD,PositionAccuracy,TagStatus,HabitatType,HabitatFeature,HabitatUnit
3,1,1,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 7:59,Chelsea Welke,11/14/2019 7:59,,,45.387553,-114.05167,3.68,Test Tag,N/A,N/A,N/A
3,1,2,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D70F560,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 7:59,Chelsea Welke,11/14/2019 7:59,,,45.387563,-114.05167,3.68,Test Tag,N/A,N/A,N/A
3,1,3,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D70F560,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 8:44,Chelsea Welke,11/14/2019 8:44,,,45.386888,-114.0503217,5.58,Test Tag,N/A,N/A,N/A
3,1,4,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 8:45,Chelsea Welke,11/14/2019 8:45,,,45.387143,-114.0493567,6.57,Test Tag,N/A,N/A,N/A
3,1,5,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D70F560,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 8:52,Chelsea Welke,11/14/2019 8:52,,,45.38796,-114.046325,4.32,Test Tag,N/A,N/A,1
3,1,6,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 9:15,Chelsea Welke,11/14/2019 9:15,,,45.388465,-114.03739,3.15,Test Tag,N/A,N/A,N/A
3,1,7,,0,0,,,0001-01-01 00:00:00,,Live,1,No nest... Cottonwood gallery...tag near mammal droppings on river Bank... Photo taken,,,1,3DD.00779AF451,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 9:41,Chelsea Welke,11/14/2019 9:41,,,45.389262,-114.03606,3.36,Shed Tag,Other,Other,2
3,1,8,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 9:53,Chelsea Welke,11/14/2019 9:53,,,45.389277,-114.036035,3.18,Test Tag,N/A,N/A,N/A
3,1,9,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 9:55,Chelsea Welke,11/14/2019 9:55,,,45.390862,-114.0378283,3.24,Test Tag,N/A,N/A,N/A
3,1,10,,0,0,,,0001-01-01 00:00:00,,Live,1,30 yards from base of nest tree,,,1,3D9.1C2CF51C52,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 10:10,Chelsea Welke,11/14/2019 10:10,,,45.390398,-114.0377867,3.54,Shed Tag,Nest in tree,Eagle,3
3,1,11,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 10:24,Chelsea Welke,11/14/2019 10:24,,,45.391885,-114.0370933,3.95,Test Tag,N/A,N/A,N/A
3,1,12,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 10:40,Chelsea Welke,11/14/2019 10:40,,,45.39407,-114.0344633,4.83,Test Tag,N/A,N/A,N/A
3,1,13,,0,0,,,0001-01-01 00:00:00,,Live,1,Gravel bar,,,1,3D9.1C2C31B9A0,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 10:51,Chelsea Welke,11/14/2019 10:51,,,45.394078,-114.0344583,4.83,Shed Tag,Other,Other,4
3,1,14,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D70F560,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 11:09,Chelsea Welke,11/14/2019 11:09,,,45.394967,-114.0339767,4.53,Test Tag,N/A,N/A,N/A
3,1,15,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2D708A7E,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 11:09,Chelsea Welke,11/14/2019 11:09,,,45.397485,-114.0306983,3.12,Test Tag,N/A,N/A,N/A
3,1,17,,0,0,,,0001-01-01 00:00:00,,Live,1,,,,1,3D9.1C2DD32B08,,,,,,,,,,,,,,,,Chelsea Welke,11/14/2019 11:24,Chelsea Welke,11/14/2019 11:24,,,45.39775,-114.030465,2.18,Shed Tag,Other,Eagle,5
