DceKey,PassKey,GPSWalkKey,IntervalDate,LatitudeDD,LongitudeDD,PositionAccuracy,HabitatUnit,HabitatType,Antenna1Signal,Antenna1Current,Antenna2Signal,Antenna2Current
3,1,1,2019-11-21 08:14:27,45.38721200,-114.05171000,5.03,1,Nest in tree,,,,
3,1,2,2019-11-21 08:14:32,45.38721800,-114.05171670,5.70,1,Nest in tree,,,,
3,1,3,2019-11-21 08:14:33,45.38721500,-114.05171330,5.03,1,N/A,,,,
3,1,4,2019-11-21 08:14:34,45.38721500,-114.05171170,5.03,1,N/A,,,,
3,1,5,2019-11-21 08:15:00,45.38727300,-114.05171830,5.70,1,N/A,,,,
3,1,6,2019-11-21 08:15:15,45.38727700,-114.05171670,4.65,1,N/A,,,,
3,1,7,2019-11-21 08:16:00,45.38738000,-114.05153000,5.70,1,N/A,,,,
3,1,8,2019-11-21 08:16:04,45.38740700,-114.05152670,5.68,1,N/A,,,,
3,1,9,2019-11-21 08:17:00,45.38731800,-114.05188330,4.95,1,N/A,,,,
3,1,10,2019-11-21 08:18:01,45.38738500,-114.05178830,5.65,1,N/A,,,,
3,1,11,2019-11-21 08:19:00,45.38741300,-114.05181830,5.63,1,N/A,,,,
3,1,12,2019-11-21 08:20:00,45.38733700,-114.05191170,5.60,1,N/A,,,,
3,1,13,2019-11-21 08:21:00,45.38743300,-114.05184500,5.55,1,N/A,,,,
3,1,14,2019-11-21 08:22:00,45.38743800,-114.05184330,5.53,1,N/A,,,,
3,1,15,2019-11-21 08:23:56,45.38739300,-114.05187830,4.75,1,N/A,,,,
3,1,16,2019-11-21 08:24:00,45.38738800,-114.05187170,4.38,1,N/A,,,,
3,1,17,2019-11-21 08:24:07,45.38737300,-114.05186000,5.45,1,Nest in tree,,,,
3,1,18,2019-11-21 08:24:08,45.38737200,-114.05185830,5.45,1,Nest in tree,,,,
3,1,19,2019-11-21 08:24:12,45.38736500,-114.05185500,5.45,2,Nest in tree,,,,
3,1,20,2019-11-21 08:24:45,45.38735200,-114.05187170,5.43,2,Nest in tree,,,,
3,1,21,2019-11-21 08:24:59,45.38737500,-114.05187000,5.43,2,Nest in tree,,,,
3,1,22,2019-11-21 08:24:59,45.38737700,-114.05187000,5.43,2,Nest in tree,,,,
3,1,23,2019-11-21 08:25:00,45.38737700,-114.05187000,5.43,2,Nest in tree,,,,
3,1,24,2019-11-21 08:25:00,45.38737800,-114.05187000,5.43,2,Nest in tree,,,,
3,1,25,2019-11-21 08:26:00,45.38746500,-114.05160330,4.38,1,N/A,,,,
3,1,26,2019-11-21 08:27:00,45.38748800,-114.05155500,4.38,1,N/A,,,,
3,1,27,2019-11-21 08:28:00,45.38751200,-114.05146670,4.35,1,N/A,,,,
3,1,28,2019-11-21 08:28:25,45.38760800,-114.05145330,4.35,1,N/A,,,,
3,1,29,2019-11-21 08:29:00,45.38763700,-114.05162500,4.35,1,N/A,,,,
3,1,30,2019-11-21 08:30:30,45.38767800,-114.05152670,5.20,1,N/A,,,,
3,1,31,2019-11-21 08:31:00,45.38768200,-114.05146670,2.95,1,N/A,,,,
3,1,32,2019-11-21 08:32:00,45.38774500,-114.05144670,2.95,1,N/A,,,,
3,1,33,2019-11-21 08:33:00,45.38777000,-114.05144170,3.10,1,N/A,,,,
3,1,34,2019-11-21 08:34:00,45.38783800,-114.05147500,2.95,1,N/A,,,,
3,1,35,2019-11-21 08:46:56,45.38783500,-114.05050670,3.00,1,N/A,,,,
3,1,36,2019-11-21 08:46:56,45.38783500,-114.05050670,3.00,1,Other,,,,
3,1,37,2019-11-21 08:46:56,45.38783500,-114.05050670,3.00,1,Other,,,,
3,1,38,2019-11-21 08:46:56,45.38783500,-114.05050670,3.00,1,Other,,,,
3,1,39,2019-11-21 08:46:56,45.38783500,-114.05050670,3.00,1,N/A,,,,
3,1,40,2019-11-21 08:46:56,45.38783500,-114.05050670,3.00,1,N/A,,,,
